State,Declaration Type,MONTH,YEAR
Alabama,Major Disaster Declaration,2,1961
Alabama,Major Disaster Declaration,11,1969
Alabama,Major Disaster Declaration,4,1970
Alabama,Major Disaster Declaration,5,1973
Alabama,Major Disaster Declaration,3,1973
Alabama,Major Disaster Declaration,4,1974
Alabama,Major Disaster Declaration,10,1975
Alabama,Major Disaster Declaration,4,1975
Alabama,Major Disaster Declaration,3,1975
Alabama,Emergency Declaration,1,1975
Alabama,Major Disaster Declaration,4,1977
Alabama,Emergency Declaration,7,1977
Alabama,Major Disaster Declaration,8,1978
Alabama,Emergency Declaration,4,1978
Alabama,Major Disaster Declaration,4,1979
Alabama,Emergency Declaration,3,1979
Alabama,Major Disaster Declaration,9,1979
Alabama,Major Disaster Declaration,4,1980
Alabama,Major Disaster Declaration,4,1981
Alabama,Major Disaster Declaration,5,1981
Alabama,Major Disaster Declaration,12,1983
Alabama,Emergency Declaration,5,1984
Alabama,Major Disaster Declaration,9,1985
Alabama,Major Disaster Declaration,11,1989
Alabama,Major Disaster Declaration,3,1990
Alabama,Major Disaster Declaration,2,1990
Alabama,Major Disaster Declaration,1,1991
Alabama,Emergency Declaration,3,1993
Alabama,Major Disaster Declaration,3,1994
Alabama,Major Disaster Declaration,3,1994
Alabama,Major Disaster Declaration,7,1994
Alabama,Major Disaster Declaration,4,1995
Alabama,Major Disaster Declaration,10,1995
Alabama,Major Disaster Declaration,3,1996
Alabama,Major Disaster Declaration,2,1996
Alabama,Major Disaster Declaration,7,1997
Alabama,Emergency Declaration,9,1998
Alabama,Major Disaster Declaration,9,1998
Alabama,Major Disaster Declaration,4,1998
Alabama,Major Disaster Declaration,3,1998
Alabama,Fire Management Assistance Declaration,9,1999
Alabama,Fire Management Assistance Declaration,9,1999
Alabama,Fire Management Assistance Declaration,9,1999
Alabama,Fire Management Assistance Declaration,9,1999
Alabama,Fire Management Assistance Declaration,9,1999
Alabama,Fire Management Assistance Declaration,9,1999
Alabama,Fire Management Assistance Declaration,9,1999
Alabama,Major Disaster Declaration,1,1999
Alabama,Fire Management Assistance Declaration,9,2000
Alabama,Major Disaster Declaration,12,2000
Alabama,Major Disaster Declaration,3,2000
Alabama,Major Disaster Declaration,2,2000
Alabama,Fire Management Assistance Declaration,11,2001
Alabama,Major Disaster Declaration,12,2001
Alabama,Major Disaster Declaration,3,2001
Alabama,Major Disaster Declaration,11,2002
Alabama,Major Disaster Declaration,10,2002
Alabama,Major Disaster Declaration,5,2003
Alabama,Major Disaster Declaration,9,2004
Alabama,Emergency Declaration,9,2005
Alabama,Emergency Declaration,8,2005
Alabama,Major Disaster Declaration,8,2005
Alabama,Major Disaster Declaration,7,2005
Alabama,Major Disaster Declaration,3,2007
Alabama,Emergency Declaration,8,2008
Alabama,Major Disaster Declaration,9,2008
Alabama,Major Disaster Declaration,9,2008
Alabama,Major Disaster Declaration,6,2009
